name	type	x	y	z
S1	source	-130.0	65.0	0.0
S2	source	-100.0	65.0	0.0
S3	source	-70.0	65.0	0.0
S4	source	-30.0	80.0	0.0
S5	source	0.0	80.0	0.0
S6	source	30.0	80.0	0.0
S7	source	40.0	0.0	0.0
S8	source	70.0	0.0	0.0
S9	source	100.0	0.0	0.0
D1	detector	-115.0	91.0	0.0
D2	detector	-85.0	91.0	0.0
D3	detector	-115.0	39.0	0.0
D4	detector	-85.0	39.0	0.0
D5	detector	-15.0	106.0	0.0
D6	detector	15.0	106.0	0.0
D7	detector	-15.0	54.0	0.0
D8	detector	15.0	54.0	0.0
D9	detector	55.0	26.0	0.0
D10	detector	85.0	26.0	0.0
D11	detector	55.0	-26.0	0.0
D12	detector	85.0	-26.0	0.0
D13	detector	-122.0	65.0	0.0
D14	detector	-92.0	65.0	0.0
D15	detector	-62.0	65.0	0.0
D16	detector	-22.0	80.0	0.0
D17	detector	8.0	80.0	0.0
D18	detector	38.0	80.0	0.0
D19	detector	48.0	0.0	0.0
D20	detector	78.0	0.0	0.0
D21	detector	108.0	0.0	0.0
